	x	y	z	#SampleID	ANONYMIZED_NAME	COLLECTION_TIMESTAMP	DEPTH	DESCRIPTION	ELEVATION	ENV_BIOME	ENV_FEATURE	ENV_MATERIAL	ENV_package	LATITUDE	LONGITUDE	Scientific_name	TAXON_ID	TITLE	cell_width	cell_width_units	cheese type	cheese_name	corrected_genomics_barcode	corrected_metabolomics_barcode	date_collected	genomics_barcode	grid_position	metabolomics_barcode	pH	plate_name	radius	recorded_genomics_barcode	recorded_metabolomics_barcode	sample_name	source	well_position
stilton.C4	-11.22136634	-2.039934732	5.698785882	60	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56118	C4	56119	6.71	Stilton_1	0.5	56118	56119	Not applicable	Stilton Whole Foods Market Borough Market	D8
stilton.D4	-11.19182745	-2.92108901	5.570075882	61	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56120	D4	56121	6.75	Stilton_1	0.5	56120	56121	Not applicable	Stilton Whole Foods Market Borough Market	E8
stilton.E4	-11.16228856	-3.802243288	5.441365882	62	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56122	E4	56123	6.74	Stilton_1	0.5	56122	56123	Not applicable	Stilton Whole Foods Market Borough Market	F8
stilton.F4	-11.13274967	-4.683397565	5.312655882	63	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56124	F4	56125	6.62	Stilton_1	0.5	56124	56125	Not applicable	Stilton Whole Foods Market Borough Market	G8
stilton.G4	-11.10321078	-5.564551843	5.183945882	64	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56126	G4	56127	6.63	Stilton_1	0.5	56126	56127	Not applicable	Stilton Whole Foods Market Borough Market	H8
stilton.H4	-11.0736719	-6.445706121	5.055235882	65	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56128	H4	56129	6.67	Stilton_1	0.5	56128	56129	Not applicable	Stilton Whole Foods Market Borough Market	A9
stilton.I4	-11.04413301	-7.326860399	4.926525882	66	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56130	I4	56131	6.65	Stilton_1	0.5	56130	56131	Not applicable	Stilton Whole Foods Market Borough Market	B9
stilton.J4	-11.01459412	-8.208014676	4.797815882	67	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56132	J4	56133	6.67	Stilton_1	0.5	56132	56133	Not applicable	Stilton Whole Foods Market Borough Market	C9
stilton.K4	-10.98505523	-9.089168954	4.669105882	68	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56134	K4	56135	6.69	Stilton_1	0.5	56134	56135	Not applicable	Stilton Whole Foods Market Borough Market	D9
stilton.L4	-10.95551634	-9.970323232	4.540395882	69	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56136	L4	56137	6.73	Stilton_1	0.5	56136	56137	Not applicable	Stilton Whole Foods Market Borough Market	E9
stilton.M4	-10.92597745	-10.85147751	4.411685882	70	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56138	M4	56139	6.84	Stilton_1	0.5	56138	56139	Not applicable	Stilton Whole Foods Market Borough Market	F9
stilton.N4	-10.89643856	-11.73263179	4.282975882	71	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56140	N4	56141	6.86	Stilton_1	0.5	56140	56141	Not applicable	Stilton Whole Foods Market Borough Market	G9
stilton.O4	-10.86689967	-12.61378607	4.154265882	72	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56142	O4	56143	6.94	Stilton_1	0.5	56142	56143	Not applicable	Stilton Whole Foods Market Borough Market	H9
stilton.P4	-10.83736078	-13.49494034	4.025555882	73	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56144	P4	56145	6.75	Stilton_1	0.5	56144	56145	Not applicable	Stilton Whole Foods Market Borough Market	A10
stilton.Q4	-10.8078219	-14.37609462	3.896845882	74	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56146	Q4	56147	6.84	Stilton_1	0.5	56146	56147	Not applicable	Stilton Whole Foods Market Borough Market	B10
stilton.R4	-10.77828301	-15.2572489	3.768135882	75	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56148	R4	56149	6.83	Stilton_1	0.5	56148	56149	Not applicable	Stilton Whole Foods Market Borough Market	C10
stilton.S4	-10.74874412	-16.13840318	3.639425882	76	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56150	S4	56151	6.85	Stilton_1	0.5	56150	56151	Not applicable	Stilton Whole Foods Market Borough Market	D10
stilton.L5	-10.06563105	-9.980324291	4.608431176	77	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56152	L5	56153	6.72	Stilton_1	0.5	56152	56153	Not applicable	Stilton Whole Foods Market Borough Market	E10
stilton.M5	-10.03609216	-10.86147857	4.479721176	78	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56154	M5	56155	6.71	Stilton_1	0.5	56154	56155	Not applicable	Stilton Whole Foods Market Borough Market	F10
stilton.N5	-10.00655327	-11.74263285	4.351011176	79	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56156	N5	56157	6.69	Stilton_1	0.5	56156	56157	Not applicable	Stilton Whole Foods Market Borough Market	G10
stilton.O5	-9.977014379	-12.62378712	4.222301176	80	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56158	O5	56159	6.84	Stilton_1	0.5	56158	56159	Not applicable	Stilton Whole Foods Market Borough Market	H10
stilton.P5	-9.94747549	-13.5049414	4.093591176	81	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56160	P5	56161	6.82	Stilton_1	0.5	56160	56161	Not applicable	Stilton Whole Foods Market Borough Market	A11
stilton.Q5	-9.917936601	-14.38609568	3.964881176	82	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56162	Q5	56163	6.78	Stilton_1	0.5	56162	56163	Not applicable	Stilton Whole Foods Market Borough Market	B11
stilton.R5	-9.888397712	-15.26724996	3.836171176	83	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56164	R5	56165	6.95	Stilton_1	0.5	56164	56165	Not applicable	Stilton Whole Foods Market Borough Market	C11
stilton.S5	-9.858858824	-16.14840424	3.707461176	84	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56166	S5	56167	6.77	Stilton_1	0.5	56166	56167	Not applicable	Stilton Whole Foods Market Borough Market	D11
stilton.L6	-9.175745752	-9.99032535	4.676466471	85	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56168	L6	56169	6.68	Stilton_1	0.5	56168	56169	Not applicable	Stilton Whole Foods Market Borough Market	E11
stilton.M6	-9.146206863	-10.87147963	4.547756471	86	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56170	M6	56171	6.65	Stilton_1	0.5	56170	56171	Not applicable	Stilton Whole Foods Market Borough Market	F11
stilton.N6	-9.116667974	-11.75263391	4.419046471	87	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56172	N6	56173	6.6	Stilton_1	0.5	56172	56173	Not applicable	Stilton Whole Foods Market Borough Market	G11
stilton.O6	-9.087129085	-12.63378818	4.290336471	88	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56174	O6	56175	6.59	Stilton_1	0.5	56174	56175	Not applicable	Stilton Whole Foods Market Borough Market	H11
stilton.P6	-9.057590196	-13.51494246	4.161626471	89	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56176	P6	56177	6.85	Stilton_2	0.5	56176	56177	Not applicable	Stilton Whole Foods Market Borough Market	A1
stilton.Q6	-9.028051307	-14.39609674	4.032916471	90	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56178	Q6	56179	6.71	Stilton_2	0.5	56178	56179	Not applicable	Stilton Whole Foods Market Borough Market	B1
stilton.R6	-8.998512418	-15.27725102	3.904206471	91	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56180	R6	56181	6.71	Stilton_2	0.5	56180	56181	Not applicable	Stilton Whole Foods Market Borough Market	C1
stilton.S6	-8.968973529	-16.15840529	3.775496471	92	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56182	S6	56183	6.78	Stilton_2	0.5	56182	56183	Not applicable	Stilton Whole Foods Market Borough Market	D1
stilton.L7	-8.285860458	-10.00032641	4.744501765	93	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56184	L7	56185	6.73	Stilton_2	0.5	56184	56185	Not applicable	Stilton Whole Foods Market Borough Market	E1
stilton.M7	-8.256321569	-10.88148069	4.615791765	94	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56186	M7	56187	6.64	Stilton_2	0.5	56186	56187	Not applicable	Stilton Whole Foods Market Borough Market	F1
stilton.N7	-8.22678268	-11.76263496	4.487081765	95	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56188	N7	56189	6.67	Stilton_2	0.5	56188	56189	Not applicable	Stilton Whole Foods Market Borough Market	G1
stilton.O7	-8.197243791	-12.64378924	4.358371765	96	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56190	O7	56191	6.62	Stilton_2	0.5	56190	56191	Not applicable	Stilton Whole Foods Market Borough Market	H1
stilton.P7	-8.167704902	-13.52494352	4.229661765	97	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56192	P7	56193	6.67	Stilton_2	0.5	56192	56193	Not applicable	Stilton Whole Foods Market Borough Market	A2
stilton.Q7	-8.138166013	-14.4060978	4.100951765	98	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56194	Q7	56195	6.63	Stilton_2	0.5	56194	56195	Not applicable	Stilton Whole Foods Market Borough Market	B2
stilton.R7	-8.108627124	-15.28725208	3.972241765	99	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56196	R7	56197	6.64	Stilton_2	0.5	56196	56197	Not applicable	Stilton Whole Foods Market Borough Market	C2
stilton.S7	-8.079088235	-16.16840635	3.843531765	100	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56198	S7	56199	6.7	Stilton_2	0.5	56198	56199	Not applicable	Stilton Whole Foods Market Borough Market	D2
stilton.L8	-7.395975163	-10.01032747	4.812537059	101	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56200	L8	56201	6.58	Stilton_2	0.5	56200	56201	Not applicable	Stilton Whole Foods Market Borough Market	E2
stilton.M8	-7.366436275	-10.89148175	4.683827059	102	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56202	M8	56203	6.65	Stilton_2	0.5	56202	56203	Not applicable	Stilton Whole Foods Market Borough Market	F2
stilton.N8	-7.336897386	-11.77263602	4.555117059	103	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56204	N8	56205	6.56	Stilton_2	0.5	56204	56205	Not applicable	Stilton Whole Foods Market Borough Market	G2
stilton.O8	-7.307358497	-12.6537903	4.426407059	104	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56206	O8	56207	6.64	Stilton_2	0.5	56206	56207	Not applicable	Stilton Whole Foods Market Borough Market	H2
stilton.P8	-7.277819608	-13.53494458	4.297697059	105	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56208	P8	56209	6.69	Stilton_2	0.5	56208	56209	Not applicable	Stilton Whole Foods Market Borough Market	A3
stilton.Q8	-7.248280719	-14.41609886	4.168987059	106	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56210	Q8	56211	6.63	Stilton_2	0.5	56210	56211	Not applicable	Stilton Whole Foods Market Borough Market	B3
stilton.R8	-7.21874183	-15.29725313	4.040277059	107	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56212	R8	56213	6.6	Stilton_2	0.5	56212	56213	Not applicable	Stilton Whole Foods Market Borough Market	C3
stilton.S8	-7.189202941	-16.17840741	3.911567059	108	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56214	S8	56215	6.59	Stilton_2	0.5	56214	56215	Not applicable	Stilton Whole Foods Market Borough Market	D3
stilton.L9	-6.506089869	-10.02032853	4.880572353	109	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56216	L9	56217	6.6	Stilton_2	0.5	56216	56217	Not applicable	Stilton Whole Foods Market Borough Market	E3
stilton.M9	-6.47655098	-10.9014828	4.751862353	110	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56218	M9	56219	6.56	Stilton_2	0.5	56218	56219	Not applicable	Stilton Whole Foods Market Borough Market	F3
stilton.N9	-6.447012092	-11.78263708	4.623152353	111	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56220	N9	56221	6.53	Stilton_2	0.5	56220	56221	Not applicable	Stilton Whole Foods Market Borough Market	G3
stilton.O9	-6.417473203	-12.66379136	4.494442353	112	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56222	O9	56223	6.66	Stilton_2	0.5	56222	56223	Not applicable	Stilton Whole Foods Market Borough Market	H3
stilton.P9	-6.387934314	-13.54494564	4.365732353	113	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56224	P9	56225	6.65	Stilton_2	0.5	56224	56225	Not applicable	Stilton Whole Foods Market Borough Market	A4
stilton.Q9	-6.358395425	-14.42609992	4.237022353	114	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56226	Q9	56227	6.63	Stilton_2	0.5	56226	56227	Not applicable	Stilton Whole Foods Market Borough Market	B4
stilton.R9	-6.328856536	-15.30725419	4.108312353	115	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56228	R9	56229	6.64	Stilton_2	0.5	56228	56229	Not applicable	Stilton Whole Foods Market Borough Market	C4
stilton.S9	-6.299317647	-16.18840847	3.979602353	116	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56230	S9	56231	6.59	Stilton_2	0.5	56230	56231	Not applicable	Stilton Whole Foods Market Borough Market	D4
stilton.L10	-5.616204575	-10.03032958	4.948607647	117	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56232	L10	56233	6.55	Stilton_2	0.5	56232	56233	Not applicable	Stilton Whole Foods Market Borough Market	E4
stilton.M10	-5.586665686	-10.91148386	4.819897647	118	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56234	M10	56235	6.53	Stilton_2	0.5	56234	56235	Not applicable	Stilton Whole Foods Market Borough Market	F4
stilton.N10	-5.557126797	-11.79263814	4.691187647	119	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56236	N10	56237	6.55	Stilton_2	0.5	56236	56237	Not applicable	Stilton Whole Foods Market Borough Market	G4
